Judecator,Hodis Ioana-Diana,,Tribunalul Salaj
Judecator                ,Moldoveanu Costin,,Tribunalul Salaj
Judecator ,Puiu Dana Maria,,Tribunalul Salaj
Judecator,Taran Daria-Braduta,,Tribunalul Salaj
Judecator,Stef Maria-Cristina,,Tribunalul Salaj
Judecator,Marian Dorina Elena,,Tribunalul Salaj
Judecator,Barbura-Turcu George,,Tribunalul Salaj
Judecator,Tomsa Claudia ,,Tribunalul Salaj
Judecator,Pop Adriana-Ramona ,,Tribunalul Salaj
Judecator,Podar Claudiu-Rares,,Tribunalul Salaj
Judecator,Chis Claudiu-Nicolae,,Tribunalul Salaj
Judecator,Savescu Gabriela-Victorita,,Tribunalul Salaj
Judecator,Lar Maria Daniela,,Tribunalul Salaj
Judecator,Santavan Liliana,,Tribunalul Salaj
Judecator,Merfu Aron Daniela,,Tribunalul Salaj
Judecator,Chis Dan-Adrian,,Tribunalul Salaj
Asistent Judiciar ,Pop Romeo-Sorin,,Tribunalul Salaj
Asistent Judiciar,Variu  Ruxandra-Ioana,,Tribunalul Salaj
Grefier ,Chichisan Daniela,,Tribunalul Salaj
Grefier,Brindea Elena ,,Tribunalul Salaj
Grefier,Brindea Delia-Ramona,,Tribunalul Salaj
Grefier,Cozac Anca,,Tribunalul Salaj
Grefier,Macai Margareta,,Tribunalul Salaj
Grefier,Onaciu Iudit-Maria,,Tribunalul Salaj
Grefier,Muresan Viorica,,Tribunalul Salaj
Grefier,Oros Ana                                      ,,Tribunalul Salaj
Grefier,Vladutu Angela,,Tribunalul Salaj
Grefier statistician,Vlaicu Camelia Loredana,,Tribunalul Salaj
Grefier,Turcas Veronica,,Tribunalul Salaj
Grefier,Chis Petrule Emilia                              ,,Tribunalul Salaj
Grefier,Prunea  Adriana                                 ,,Tribunalul Salaj
Grefier,Sacota Ileana-Violeta                         ,,Tribunalul Salaj
Grefier,Duca Mirela-Janina                                                 ,,Tribunalul Salaj
Grefier        ,Pintea Cristina                                                        ,,Tribunalul Salaj
Grefier,Chis Cristina-Dana,,Tribunalul Salaj
Grefier,Kadar Andreea-Julia                            ,,Tribunalul Salaj
Grefier,Ola Ramona Ioana                      ,,Tribunalul Salaj
Grefier ,Chifor Alexandra Andrada                                           ,,Tribunalul Salaj
Grefier,Pop Diana Simona,,Tribunalul Salaj
Grefier ,Hudin  Anica ,,Tribunalul Salaj
Grefier-arhivar,Rus Maria-Claudia ,,Tribunalul Salaj
Grefier-arhivar,Chende Nicoleta Reveica    ,,Tribunalul Salaj
Grefier-arhivar,Sur Corina-Maria                           ,,Tribunalul Salaj
Grefier-arhivar,Naghi  Iulia-Carmen                  ,,Tribunalul Salaj
Specialist IT,Cotor Calin-Petru,,Tribunalul Salaj
Specialist IT ,Lascu Iuliana,,Tribunalul Salaj
Specialist IT ,Laslau  Adrian,,Tribunalul Salaj
Specialist IT,Sabadas Constantin-Augustin,,Tribunalul Salaj
Specialist IT ,Pop Emil-Mihail,,Tribunalul Salaj
Agent-procedural,Blaga Cornelia,,Tribunalul Salaj
Aprod,Lucaci Viorica,,Tribunalul Salaj
sofer,Cighi Onoriu,,Tribunalul Salaj
sofer,Cigher Radu,,Tribunalul Salaj
sofer,Osan Silviu-Corin,,Tribunalul Salaj
sofer,Papp Arpad-Florin,,Tribunalul Salaj
sofer ,Handragel Dumitru ,,Tribunalul Salaj
Manager  economic,Stirb lleana ,,Tribunalul Salaj
Consilier - superior,Cubinet Victoria ,,Tribunalul Salaj
Consilier - superior,Antal Elisabeta,,Tribunalul Salaj
Consilier superior,Sabadas Mariana -Valeria ,,Tribunalul Salaj
Consilier - superior,Moise Gizela,,Tribunalul Salaj
Consilier - superior,Petre Anuta,,Tribunalul Salaj
Consilier - superior,Tap Delia-Elena,,Tribunalul Salaj
Expert - superior,Bologa Angelica-Maria,,Tribunalul Salaj
Expert - superior,But Adriana-Carmen,,Tribunalul Salaj
Muncitor calificat,Pop Iosif,,Tribunalul Salaj
Judecator,Dregan Claudia Arabela                    ,,Judecatoria Zalau
Judecator Judecatorie,Isacu Veronica Irina Antonia,,Judecatoria Zalau
Judecator Judecatorie,Criste Anca-Adriana,,Judecatoria Zalau
Judecator Judecatorie,More Zsigmond Gabriella ,,Judecatoria Zalau
